interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,out,sp10-01-36,2010-08-02 16:53:00,,
call,in,sp10-01-36,2010-08-06 11:54:02,,
call,in,sp10-01-36,2010-08-06 18:11:45,,
call,out,sp10-01-36,2010-08-06 18:01:53,,
call,in,sp10-01-36,2010-08-10 17:25:29,,
call,in,sp10-01-36,2010-08-13 16:06:09,,
call,in,sp10-01-36,2010-08-15 16:12:16,,
call,in,sp10-01-36,2010-08-15 15:53:10,,
call,in,sp10-01-36,2010-08-17 18:02:02,,
call,out,sp10-01-36,2010-08-17 17:39:21,,
call,in,sp10-01-36,2010-08-20 12:08:20,,
call,in,sp10-01-36,2010-08-20 11:10:36,,
call,in,885f199c649752743f1377993d836ab5a029497b,2010-08-20 16:58:27,,
call,out,885f199c649752743f1377993d836ab5a029497b,2010-08-21 11:04:02,,
call,out,ecf1b6876eee3e0a0e8a732564d0c50cc39071ac,2010-08-21 11:03:29,,
call,in,sp10-01-36,2010-08-21 18:14:35,,
call,in,sp10-01-36,2010-08-23 13:01:33,,
call,in,20172c6064c4b8258e2a8930c0d5914e6e4b3ecd,2010-08-24 19:22:34,,
call,out,20172c6064c4b8258e2a8930c0d5914e6e4b3ecd,2010-08-24 19:04:38,,
call,in,20172c6064c4b8258e2a8930c0d5914e6e4b3ecd,2010-08-24 18:21:18,,
call,in,sp10-01-36,2010-08-25 16:43:15,,
call,in,e452a163dff131f7b4b24428aac4d22d4b43072a,2010-08-26 09:40:02,,
call,in,sp10-01-36,2010-08-26 18:21:49,,
call,out,sp10-01-36,2010-08-26 18:07:25,,
call,out,sp10-01-36,2010-08-26 17:00:21,,
call,in,e452a163dff131f7b4b24428aac4d22d4b43072a,2010-08-29 09:37:44,,
call,in,sp10-01-36,2010-08-31 13:41:45,,
call,out,sp10-01-36,2010-08-31 13:20:29,,
call,out,sp10-01-36,2010-08-31 13:13:09,,
call,in,sp10-01-36,2010-09-02 15:05:31,,
call,in,df899e916f81a5a4a2306842c2fd008c046f9320,2010-09-03 06:45:03,,
call,in,sp10-01-36,2010-09-07 14:38:40,,
call,in,sp10-01-36,2010-09-09 08:09:40,,
call,out,sp10-01-36,2010-09-09 12:46:18,,
call,out,sp10-01-36,2010-09-09 12:19:16,,
call,in,f4f96c8fb89eb9a74b6c65778b437d9550c28705,2010-09-10 08:52:43,,
call,out,f4f96c8fb89eb9a74b6c65778b437d9550c28705,2010-09-10 08:51:17,,
call,in,sp10-01-36,2010-09-10 08:07:50,,
call,in,sp10-01-36,2010-09-10 12:58:50,,
call,in,9447aa15d0a4defee8549aa04c77db8bdabbc569,2010-09-13 14:08:12,,
call,in,sp10-01-36,2010-09-13 12:54:18,,
call,in,sp10-01-36,2010-09-13 10:08:25,,
call,in,72be978627f1db122e292a33cf4ff5259d7e69f6,2010-09-13 19:42:28,,
call,in,sp10-01-36,2010-09-14 13:11:13,,
call,in,sp10-01-36,2010-09-14 15:38:14,,
call,in,sp10-01-36,2010-09-14 15:37:07,,
call,out,sp10-01-36,2010-09-14 15:29:41,,
call,out,5c1bccfcb71b6616cfce025c9e17d8f8db7a5055,2010-09-15 07:26:25,,
call,in,sp10-01-36,2010-09-15 13:35:30,,
call,out,f22d74c1a781d7649708136db73c600e585f52d5,2010-09-15 08:31:21,,
call,out,sp10-01-36,2010-09-16 12:55:07,,
call,out,sp10-01-36,2010-09-16 08:07:24,,
call,in,sp10-01-36,2010-09-16 08:06:52,,
call,in,sp10-01-36,2010-09-17 13:40:43,,
call,out,sp10-01-36,2010-09-19 18:02:24,,
call,out,sp10-01-36,2010-09-20 12:30:34,,
